2018-12-24,GTO,30.5
2018-12-25,GTO,27.8
2018-12-26,GTO,28.5
2018-12-27,GTO,26.5
2018-12-28,GTO,27.8
2018-12-29,GTO,27.4
2018-12-30,GTO,27.9
2018-12-31,GTO,26.6
2018-12-01,NEO,9245.0
2018-12-02,NEO,9035.0
2018-12-03,NEO,8325.0
2018-12-04,NEO,8515.0
2018-12-05,NEO,7950.0
2018-12-06,NEO,6745.0
2018-12-07,NEO,6920.0
2018-12-08,NEO,6695.0
2018-12-09,NEO,7150.0
2018-12-10,NEO,6890.0
2018-12-11,NEO,6545.0
2018-12-12,NEO,6700.0
2018-12-13,NEO,6380.0
2018-12-14,NEO,6350.0
2018-12-15,NEO,6280.0
2018-12-16,NEO,6365.0
2018-12-17,NEO,7230.0
2018-12-18,NEO,7525.0
2018-12-19,NEO,7340.0
2018-12-20,NEO,8005.0
2018-12-21,NEO,7695.0
2018-12-22,NEO,7855.0
2018-12-23,NEO,8495.0
2018-12-24,NEO,9415.0
2018-12-25,NEO,8515.0
2018-12-26,NEO,8680.0
2018-12-27,NEO,7890.0
2018-12-28,NEO,8810.0
2018-12-29,NEO,8735.0
2018-12-30,NEO,8875.0
2018-12-31,NEO,8590.0
2018-12-01,OMG,1825.0
2018-12-02,OMG,1815.0
2018-12-03,OMG,1650.0
2018-12-04,OMG,1665.0
2018-12-05,OMG,1545.0
2018-12-06,OMG,1395.0
2018-12-07,OMG,1480.0
2018-12-08,OMG,1465.0
2018-12-09,OMG,1530.0
2018-12-10,OMG,1475.0
2018-12-11,OMG,1465.0
2018-12-12,OMG,1400.0
2018-12-13,OMG,1325.0
2018-12-14,OMG,1235.0
2018-12-15,OMG,1245.0
2018-12-16,OMG,1280.0
2018-12-17,OMG,1395.0
2018-12-18,OMG,1480.0
2018-12-19,OMG,1500.0
2018-12-20,OMG,1805.0
2018-12-21,OMG,1640.0
2018-12-22,OMG,1750.0
2018-12-23,OMG,1845.0
2018-12-24,OMG,1805.0
2018-12-25,OMG,1620.0
2018-12-26,OMG,1660.0
2018-12-27,OMG,1480.0
2018-12-28,OMG,1615.0
2018-12-29,OMG,1600.0
2018-12-30,OMG,1570.0
2018-12-31,OMG,1515.0
2018-12-01,OST,30.5
2018-12-02,OST,32.0
2018-12-03,OST,29.7
2018-12-04,OST,31.5
2018-12-05,OST,34.1
2018-12-06,OST,25.8
2018-12-07,OST,25.6
2018-12-08,OST,25.2
2018-12-09,OST,26.2
2018-12-10,OST,26.2
2018-12-11,OST,26.6
2018-12-12,OST,28.2
2018-12-13,OST,25.7
2018-12-14,OST,25.2
2018-12-15,OST,25.2
2018-12-16,OST,25.9
2018-12-17,OST,27.6
2018-12-18,OST,28.3
2018-12-19,OST,28.1
2018-12-20,OST,30.4
2018-12-21,OST,29.6
2018-12-22,OST,30.6
2018-12-23,OST,30.4
2018-12-24,OST,31.2
2018-12-25,OST,27.0
2018-12-26,OST,27.7
2018-12-27,OST,25.4
2018-12-28,OST,28.1
2018-12-29,OST,26.8
2018-12-30,OST,27.9
2018-12-31,OST,26.0
2018-12-01,POLY,162.0
2018-12-02,POLY,159.0
2018-12-03,POLY,149.0
2018-12-04,POLY,151.0
2018-12-05,POLY,159.0
2018-12-06,POLY,135.0
2018-12-07,POLY,131.0
2018-12-08,POLY,128.0
2018-12-09,POLY,136.0
2018-12-10,POLY,128.0
2018-12-11,POLY,133.0
2018-12-12,POLY,142.0
2018-12-13,POLY,148.0
2018-12-14,POLY,145.0
2018-12-15,POLY,153.0
2018-12-16,POLY,153.0
2018-12-17,POLY,162.0
2018-12-18,POLY,165.0
2018-12-19,POLY,163.0
2018-12-20,POLY,173.0
2018-12-21,POLY,159.0
2018-12-22,POLY,164.0
2018-12-23,POLY,169.0
2018-12-24,POLY,170.0
2018-12-25,POLY,167.0
2018-12-26,POLY,182.0
2018-12-27,POLY,160.0
2018-12-28,POLY,169.0
2018-12-29,POLY,159.0
2018-12-30,POLY,164.0
2018-12-31,POLY,157.0
2018-12-01,POWR,102.0
2018-12-02,POWR,99.7
2018-12-03,POWR,102.0
2018-12-04,POWR,104.0
2018-12-05,POWR,95.4
2018-12-06,POWR,81.0
2018-12-07,POWR,78.3
2018-12-08,POWR,78.5
2018-12-09,POWR,82.0
2018-12-10,POWR,76.9
2018-12-11,POWR,74.2
2018-12-12,POWR,74.8
2018-12-13,POWR,73.1
2018-12-14,POWR,70.4
2018-12-15,POWR,69.2
2018-12-16,POWR,70.3
2018-12-17,POWR,76.5
2018-12-18,POWR,83.2
2018-12-19,POWR,84.5
2018-12-20,POWR,92.9
2018-12-21,POWR,91.0
2018-12-22,POWR,98.6
2018-12-23,POWR,100.0
2018-12-24,POWR,101.0
2018-12-25,POWR,90.9
2018-12-26,POWR,101.0
2018-12-27,POWR,90.1
2018-12-28,POWR,93.1
2018-12-29,POWR,89.5
2018-12-30,POWR,89.4
2018-12-31,POWR,91.6
2018-12-01,QTUM,2390.0
2018-12-02,QTUM,2400.0
2018-12-03,QTUM,2200.0
2018-12-04,QTUM,2210.0
2018-12-05,QTUM,2090.0
2018-12-06,QTUM,1855.0
2018-12-07,QTUM,1785.0
2018-12-08,QTUM,1780.0
2018-12-09,QTUM,1870.0
2018-12-10,QTUM,1770.0
2018-12-11,QTUM,1825.0
2018-12-12,QTUM,1860.0
2018-12-13,QTUM,2040.0
2018-12-14,QTUM,1925.0
2018-12-15,QTUM,1915.0
2018-12-16,QTUM,1940.0
2018-12-17,QTUM,2290.0
2018-12-18,QTUM,2365.0
2018-12-19,QTUM,2460.0
2018-12-20,QTUM,2655.0
2018-12-21,QTUM,2525.0
2018-12-22,QTUM,2650.0
2018-12-23,QTUM,3065.0
2018-12-24,QTUM,2935.0
2018-12-25,QTUM,2695.0
2018-12-26,QTUM,2710.0
2018-12-27,QTUM,2400.0
2018-12-28,QTUM,2625.0
2018-12-29,QTUM,2535.0
2018-12-30,QTUM,2565.0
2018-12-31,QTUM,2415.0
2018-12-01,SNT,22.8
2018-12-02,SNT,22.9
2018-12-03,SNT,20.9
2018-12-04,SNT,20.9
2018-12-05,SNT,20.0
2018-12-06,SNT,18.0
2018-12-07,SNT,17.2
2018-12-08,SNT,16.8
2018-12-09,SNT,17.4
2018-12-10,SNT,16.5
2018-12-11,SNT,16.1
2018-12-12,SNT,16.5
2018-12-13,SNT,15.9
2018-12-14,SNT,15.0
2018-12-15,SNT,15.4
2018-12-16,SNT,15.8
2018-12-17,SNT,17.2
2018-12-18,SNT,17.7
2018-12-19,SNT,17.8
2018-12-20,SNT,20.1
2018-12-21,SNT,19.8
2018-12-22,SNT,20.1
2018-12-23,SNT,22.3
2018-12-24,SNT,22.3
2018-12-25,SNT,20.0
2018-12-26,SNT,20.1
2018-12-27,SNT,18.7
2018-12-28,SNT,20.1
2018-12-29,SNT,19.6
2018-12-30,SNT,20.3
2018-12-31,SNT,19.4
2018-12-01,STORM,4.74
2018-12-02,STORM,4.69
2018-12-03,STORM,4.4
2018-12-04,STORM,4.45
2018-12-05,STORM,4.15
2018-12-06,STORM,3.56
2018-12-07,STORM,3.38
2018-12-08,STORM,3.31
2018-12-09,STORM,3.36
2018-12-10,STORM,3.26
2018-12-11,STORM,3.1
2018-12-12,STORM,3.16
2018-12-13,STORM,2.98
2018-12-14,STORM,2.85
2018-12-15,STORM,2.81
2018-12-16,STORM,3.2
2018-12-17,STORM,3.38
2018-12-18,STORM,3.45
2018-12-19,STORM,3.39
2018-12-20,STORM,3.69
2018-12-21,STORM,3.52
2018-12-22,STORM,3.8
2018-12-23,STORM,3.87
2018-12-24,STORM,3.9
2018-12-25,STORM,3.4
2018-12-26,STORM,3.45
2018-12-27,STORM,3.16
2018-12-28,STORM,3.43
2018-12-29,STORM,3.38
2018-12-30,STORM,3.35
2018-12-31,STORM,3.18
2018-12-01,ZIL,20.5
2018-12-02,ZIL,20.0
2018-12-03,ZIL,18.5
2018-12-04,ZIL,18.8
2018-12-05,ZIL,17.5
2018-12-06,ZIL,15.2
2018-12-07,ZIL,15.5
2018-12-08,ZIL,15.2
2018-12-09,ZIL,15.9
2018-12-10,ZIL,15.2
2018-12-11,ZIL,15.2
2018-12-12,ZIL,15.7
2018-12-13,ZIL,14.8
2018-12-14,ZIL,14.4
2018-12-15,ZIL,14.3
2018-12-16,ZIL,14.6
2018-12-17,ZIL,15.8
2018-12-18,ZIL,17.5
2018-12-19,ZIL,17.1
2018-12-20,ZIL,19.0
2018-12-21,ZIL,19.5
2018-12-22,ZIL,20.6
2018-12-23,ZIL,22.3
2018-12-24,ZIL,22.7
2018-12-25,ZIL,20.1
2018-12-26,ZIL,20.8
2018-12-27,ZIL,19.1
2018-12-28,ZIL,22.2
2018-12-29,ZIL,23.4
2018-12-30,ZIL,23.2
2018-12-31,ZIL,21.9
